Date,Day,Week,Value
2014-01-01,3,1,656
2014-01-02,4,1,1947
2014-01-03,5,1,2425
2014-01-04,6,1,1227
2014-01-05,7,1,2480
2014-01-06,1,1,3143
2014-01-07,2,1,2156
2014-01-08,3,2,630
2014-01-09,4,2,453
2014-01-10,5,2,439
2014-01-11,6,2,304
2014-01-12,7,2,198
2014-01-13,1,2,148
2014-01-14,2,2,332
2014-01-15,3,3,177
2014-01-16,4,3,226
2014-01-17,5,3,155
2014-01-18,6,3,187
2014-01-19,7,3,91
2014-01-20,1,3,175
2014-01-21,2,3,1961
2014-01-22,3,4,1040
2014-01-23,4,4,347
2014-01-24,5,4,1063
2014-01-25,6,4,186
2014-01-26,7,4,424
2014-01-27,1,4,769
2014-01-28,2,4,2922
2014-01-29,3,5,2414
2014-01-30,4,5,1552
2014-01-31,5,5,625